text,label
ሮሮ አይመረው,1
የሰውን ልክ,1
ጥያቄዎች ደግሞ,0
ያገር ሸክም,1
አንጀቱ ተቃጠለ,1
ሰፖርታዊ ጨዋነት,0
ሀገሬ ኢትዮጵያ,0
ውርደት ተቀበለ,0
ተማሪዎች በርእሰጉዳዩ ላይ ጥልቅ ውይይት,0
አመልህን ሰብስብ,1
በአረፍተነገር ውስጥ,0
ቋጥኝ ቁም ነገርን,0
ለአገር ጉዳይ ተሟጋቾች,0
ሩቅ አገር,1
ከአንገት በላይ,1
አገር ውስጥ ያለውን,0
ተቋቋመ,1
ምክንያት በማድረግ,0
አመተ ምህረት,0
አፉን አሾለ,1
ጃንሆይ ድል አድርገው ከገቡ በኋላ,0
እንዳለ እንደ መርግ,0
ሁን ያለው ይሆናል,1
ለበቃ ለባቃ,1
የተሰጡ መነሻ መልሶች,0
ብረት ለበስ,1
ሎጥ ሎጥ አለ,1
ጥርሰ በረዶ,1
አደራውንም ይወጣል,0
ማድረግ የሚችለውንም ሁሉ አድርጓል,0
መንጥሮ አጠበ,1
በመፃፉ ተፀፀተ,0
አምስት አመት,0
አይኑ አረገዘ,1
ፈፀመ,0
ለበሽታዬ ያህል,1
ለተግባቦት ለማሀበራዊ ህይዎት,0
በዱላ ለወሰው,1
ሀተታዊ አረፍተነገር,0
ሳታደርገዉ ቀረች,0
ቅምጠላው ጠፋ,1
ችክ አለ,1
የተሻለ የደሞዝ ክፍያ,0
አስተማማኝና ተመራጭ አይደለም,0
ቋቅ አለው,1
ብላ ተባላ,1
ሟጣጭ ሌባ,1
ራስ በራስ,1
ችክ ምንችክ አለ,1
ጉዳዩ መክኖ ቀረ,1
አትሰለፍ,1
ሁለተኛ ምእራፍ ተሸጋግሮአል,0
ሰንጠረዥ ውስጥ ያለ መረጃን ተርጉሞ መፃፍ,0
አርከፈከፈብን,1
ተራ ሰው,1
ወጣቶቹ ኦፓል ከመገኘቱ በፊት,0
አሞገሰ,0
ቀደም ቀደም አትበል,1
ልቡ ቆመ,1
ሰውዬው ቡዳ,1
ልቦለድ,0
ጠፍር በሊታ,1
አንገቱን መዘዘ,1
ሰማይ ቆጡ,1
ነጠላ አረፍተነገር የሚባለው,0
አንጀቴ ቁልፍ አለ,1
ግራ ክንፍ,0
ቆርጦኝ,1
ቀልጣፋ ንቁ,0
ቆሌው ተነስቷል,1
ድል,0
ሹመት አይደነግጥ,1
ምች አደር,1
ሱሪ አለበስኩም,1
ቁስሉ ሰፋ,1
ሰአቱ ሞላ,1
ማከምን,0
ረሀብ ቀጠቀጠው,1
ስልክ እንኳ ደውሎ አያውቅም,0
ብርቱካን ልቁረጥልህ,0
ጋኔን ለከፈው,1
እኔ የሱን ጥብቆ እንዳጥብ,0
ከላይ ላይ እንደተጠቀሰው,0
ምስለ አፍሳሽ,1
መንገድ አሳበረ,1
እየተስለመለሙ ይጠራሉ,0
ምርጊት ፊት,1
ክረምቱ ተጫነ,1
ሙት አማጣኝ,1
ቆምጬ አምባው ይልማ,0
ቂጣ,1
እንደሚተረጎም ገለፃ ያድርጉላቸው,0
መቼት የትረካ አንፃር,0
ላቀበለው ጠቢብ እጅ ነሳ,0
እንዳልሆነ,1
ለይቶ አየ,0
መንደርደሪያ ትችት,0
አቃቢ ህግ,0
ለብቻ ያስቀመጡት,0
ሽብሽብ አደረገ,1
መምህር አልሰጠም,1
ተቆለለበት,1
የጣይ ሽንት,1
ቀደሰ,1
ሞትን እንደ ሶቅራጠስ ቅደመው,0
ይዞ የተፈጠረዉ,0
ስድ አደግ,1
ጠጁን ለበለበው,1
መንግጎ ወሰደ,1
በዱላ ለወሰው,1
ቅሬታ ገባው,1
የእርዳታ ገንዘብ,0
ፊደል ቆጠረ,1
ልብ አፈረሰ,1
የበይነመረብ መረጃዎች,0
ተበደሪ ብልሽ አሻፈረኝ አልሽ,0
ሽንተ መልካም,1
ቀርቶ ላይቀር,1
በእንባ ተራጨ,1
ልባቸው ተራርቋል,1
ምእራብ የተሰደደው,0
በእርማት ማረጋገጥ,0
ሽራፊ ሳንቲም,0
የአሜሪካ ዶክተር,0
አሁን ግን ይበቃኛል,0
የወር ቀለብ,0
ውለድ,0
ክፍለትምህርት ስር,0
መድሀኒት ቀመሰ,1
ክፉ ስም ቀባ,1
ሞት በቃ,1
ልቡ ረጋ,1
ቃሉን አከበረ,1
ዋና ዋና ፍሬ ሀሳቦችን,0
ሽንታም,1
በወረዳ አስተዳዳሪነት ሰርቻለሁ,0
ልቡን መታው,1
አትሰለፍ,1
ሀሞታም,1
የቃል ፅህፈት,1
መዝገብ ላይ ውስጥ ተከለ,1
በእርሱ,0
እየስራ እንደሆነ,0
እንዳሉት የሚገመተው አማርኛ,0
ተግባራትን በጥንቃቄ ማከናወን ያስፈልጋል,0
የሚከተለዉን ነገራት,0
ረድኤታም ሴት,1
የወርቅ ሜዳልያ,0
በነገር ቀቀለኝ,1
ርስት ተመራ,1
የቅባት እህል,0
ሶማሊኛ ቋንቋ ይናገራሉ,0
በሀረግ ሸለመ አስጌጠ,0
በልመና ወይም በትህትና የቀረበ ትእዛዝ,0
ሀገር ምስል,0
ወንጀል ሰራ,0
በውጊያ ሜዳ,0
አማርኛን እንደአፍመፍቻ ቋንቋ,0
መድከም መዛል,0
በእምብርክ አስኬደው,1
ፍፁምነት ባይኖራቸውም,0
የኩልቤት,1
የተወያዩባቸውን ነጥቦች,0
እንዲያው ካገኘሁ እድሉን እኔም,0
ባርያ ፈንጋይ,1
መስቀለኛ መንገድ,1
ጠበቃ አቆመ,1
የብረት ልጥ,1
ማስተማር እንዳለባቸው,0
ምርጥ ዘር,0
የሰጡትን ይይዛል,1
ስንዝር ሲሰጡት ጋራ,1
ቅላጥቤ,1
ንፋስ መውጫ,0
ሀይ ሀይ አለ,1
ልብ አብግን,1
በአረፍተነገር ውስጥ,0
የተወለደበትን ቀን አስቆጠረው,1
እስረኛ ለአይን ያስፈራል,0
እንደሱ እንኳ አላደርግም,0
ቡዳ በላው,1
ውሻ አይበላው ጥል,1
ቋቱ ጠብ አለ,1
እንደሆነ የሚገልፅ,0
ቆቻ ዋለ,1
ቃሪያ ሰነጋ,1
ወሬው በረደ,1
የልቦለድ ድርሰት,0
ስራ ማይዝ,1
ልብስ ተማሪ,1
ጅማ አባጅፋር,0
ምሳ አደረገ,1
መስከረም ሲተኮስ,1
እሱን አየሁ,0
ፈፅሞ አላደርገውም,0
ሶስት ሰበር,1
ቷቷ አለ,1
ርጥብ ሬሳ,1
ቀባ ቆራጭ,1
ቀርጠ ቀላል,1
ቁም ነገር,0
ራስን ማሻሻል,0
ስለተለያዩ ጉዳዮች ስንናገር,0
እብድ ፍቅር,0
አንጀቴን አርሰኝ,1
ሁለቱ ድርና ማግ ሁነዋል,1
የሰውነት ክፍሎች,0
ማስመለስ,1
የሞተ እንጀራ,1
ንፋስ መውጫ,0
በፊታቸዉ በኋላቸዉ,0
ችግር አለው,1
ግምገማ ያዳመጡትን ፅሁፍ,0
ጉዳዩን ተኮሰ,1
መንገድ መታው,1
የሰማይ ቁጣ,1
ልሳነ እሳት,1
ልቡ ሞተ,1
እንደቅደም ተከተላቸው,0
በቁርጥ አደር,1
በራዥ ከላሽ,1
ሞገስ አገኘ,1
ሰዋስው,0
ምንባቡን ደግመው ያንብቡላቸው,0
ቢያወጣ ቢያወርድ,0
ርጥብ ቁርበት,1
ወንድ አለ,0
አውድማን ረገጠ,1
በተማሪዎች መፅሀፍ ላይ የቀረቡ,0
የተቀራረበ በመሆኑ,0
የውሸት ማንነት,0
ለማብረድ ቻሉ,0
ነገር በላ,1
ሁለት ግስ,0
አባትዋ እልፍኝ,0
ቱሪስቶች የተገደበ አይደለም,0
የአማራ መነሻ,0
ሸርሞ ለሸርሞ,1
ከላይ እንደተጠቆመው,0
እሱ ባልዉ,0
ያገር ሸክም,1
መንገድ ላይ,0
ክፍል አንድ,0
በጨጉራህ ይቆረባል,1
አናቱን ለየ,1
በትሩ ሀይለኛ,1
ለዛ ቢስ,1
ከኦፓል የሚገኘው ገቢ,0
በመፅሀፍ ላይ,0
ማንነትን መደበቂያ ጭንብል,0
ትዝታን በመፍጠሩ,0
በተማሪ መፅሀፍ የቀረቡትን,0
ቅደም ተከተል,1
አእምሮው ላሽቋል,1
ሴራ ቆረጠ,1
ባህር ሸሽ,1
በቁሙ ሞተ,1
ትቶት ሂዷል,1
አባ ሰንጋ,1
ይዘት,0
ተላላሰ,1
ብረት ሰሪ,1
መቼና ከማን እንደሚወለድ,0
